exch_code,commodity,future_year,future_month,strike_price,trade_date,spread_flag,record_id,trade_price,buy_cti1,sell_cti1,net_cti1,buy_cti2,sell_cti2,net_cti2,buy_cti3,sell_cti3,net_cti3,buy_cti4,sell_cti4,net_cti4,total_cti,bracket,put_call,eof
CBOT,BC,2011,Z,0000070,20110509,N,D,40,10,10,0,0,0,0,0,0,0,10,10,0,40,12b,C,X
CBOT,BC,2011,Z,0000070,20110509,N,A,40,10,10,0,0,0,0,0,0,0,10,10,0,40,12b,C,X
CBOT,BO,2011,K,,20110509,Y,D,55370,0,43,-43,0,0,0,0,0,0,0,0,0,43,11d,,X
CBOT,BO,2011,K,,20110509,Y,D,55370,0,74,-74,0,0,0,0,0,0,74,0,74,148,12a,,X
CBOT,BO,2011,K,,20110509,Y,A,55370,0,117,-117,0,0,0,0,0,0,74,0,74,191,11d12a,,X
CBOT,BO,2011,K,,20110509,N,D,55730,2,6,-4,0,0,0,0,0,0,6,2,4,16,09c,,X
CBOT,BO,2011,K,,20110509,N,A,55730,2,6,-4,0,0,0,0,0,0,6,2,4,16,09c,,X
CBOT,BO,2011,K,,20110509,Y,D,55800,0,0,0,43,0,43,0,0,0,0,0,0,43,12a,,X
CBOT,BO,2011,K,,20110509,Y,A,55800,0,0,0,43,0,43,0,0,0,0,0,0,43,12a,,X
CBOT,BO,2011,K,,20110509,N,D,55860,0,4,-4,0,0,0,0,0,0,4,0,4,8,11d,,X
CBOT,BO,2011,K,,20110509,N,A,55860,0,4,-4,0,0,0,0,0,0,4,0,4,8,11d,,X
CBOT,BO,2011,N,,20110509,Y,D,55600,0,0,0,0,0,0,0,6,-6,0,0,0,6,09c,,X
CBOT,BO,2011,N,,20110509,Y,D,55600,0,0,0,0,0,0,0,6,-6,0,0,0,6,10a,,X
CBOT,BO,2011,N,,20110509,Y,D,55600,0,0,0,0,0,0,0,5,-5,0,0,0,5,10c,,X
CBOT,BO,2011,N,,20110509,Y,A,55600,0,0,0,0,0,0,0,17,-17,0,0,0,17,09c10a10c,,X
CBOT,BO,2011,N,,20110509,Y,D,55680,43,0,43,0,0,0,0,0,0,0,0,0,43,11d,,X
CBOT,BO,2011,N,,20110509,Y,D,55680,10,0,10,0,0,0,0,0,0,0,15,-15,25,12a,,X
CBOT,BO,2011,N,,20110509,Y,A,55680,53,0,53,0,0,0,0,0,0,0,15,-15,68,11d12a,,X
CBOT,BO,2011,N,,20110509,Y,D,55690,4,0,4,0,0,0,2,0,2,0,0,0,6,09c,,X
CBOT,BO,2011,N,,20110509,Y,D,55690,6,0,6,0,0,0,0,0,0,0,0,0,6,10a,,X
